symbol,Date,signal
CTAS,03/21/12,1
SNDK,07/20/12,1
TZOO,07/19/12,1
YHOO,07/18/12,1
AMD,07/20/12,-1
OCZTQ,07/11/12,-1
UTEK,07/19/12,1
BIDU,07/24/12,1
DDD,07/26/12,-1
STX,07/31/12,-1
WDC,07/26/12,1
FIO,08/10/12,1
AAPL,07/25/12,-1
JNPR,07/25/12,1
NTGR,07/27/12,-1
RVBD,07/25/12,1
GLW,07/25/12,-1
OSIS,08/09/12,1
AKAM,07/26/12,1
IAC,07/25/12,1
LNKD,08/03/12,-1
LQDT,07/31/12,1
MELI,08/03/12,1
STMP,07/26/12,1
AOL,07/25/12,1
OPEN,08/03/12,1
CNVR,08/03/12,1
ZG,08/08/12,-1
YELP,08/02/12,1
ANGI,07/26/12,-1
ALTR,07/25/12,1
POWI,08/07/12,1
NVDA,08/10/12,1
TXN,07/24/12,1
BRCM,07/25/12,1
CAVM,08/02/12,1
TDC,08/02/12,1
ATVI,08/03/12,1
CVLT,07/31/12,1
MANH,07/25/12,1
N,07/27/12,1
NUAN,08/08/12,1
FIRE,08/01/12,1
SSNC,08/10/12,1
SYMC,07/26/12,1
SWI,07/25/12,1
ANSS,08/02/12,1
ULTI,08/01/12,1
CTXS,07/26/12,1
ZNGA,07/26/12,-1
IMPV,08/10/12,1
ET,08/10/12,1
AGU,11/07/12,-1
HUN,11/02/12,1
LXU,11/07/12,-1
CHMT,11/06/12,-1
LPX,11/06/12,-1
TIE,11/07/12,-1
COP,01/30/13,-1
MRO,02/06/13,-1
APC,02/05/13,1
TSO,02/07/13,1
XOM,02/01/13,1
SPH,02/07/13,-1
BHI,01/23/13,-1
HAL,01/25/13,1
DO,02/05/13,-1
CRK,02/12/13,-1
NFX,02/20/13,-1
SFL,02/25/13,-1
WLL,02/28/13,1
INT,02/22/13,-1
CLMT,02/13/13,1
CHK,02/21/13,1
RDC,02/28/13,1
APL,02/19/13,-1
OIS,02/20/13,-1
BWP,02/11/13,-1
FTI,02/13/13,-1
USM,02/26/13,-1
IRDM,02/28/13,-1
LVLT,02/12/13,-1
VVC,02/15/13,1
PNW,02/22/13,1
AEP,02/15/13,1
EE,02/19/13,-1
ETP,02/21/13,1
CWT,02/28/13,1
VIP,03/06/13,1
POM,03/01/13,-1
MG,04/09/13,-1
TISI,04/03/13,-1
HCSG,04/09/13,1
LNN,03/27/13,1
GBX,04/04/13,1
MAN,04/19/13,1
ASGN,04/25/13,-1
HXL,04/23/13,1
LMT,04/23/13,1
NOC,04/24/13,1
BEAV,04/22/13,1
BA,04/24/13,1
GD,04/24/13,1
LII,04/22/13,1
AWI,04/29/13,-1
USG,04/24/13,-1
ESND,04/23/13,-1
GDI,04/26/13,-1
GE,04/19/13,1
EME,04/25/13,-1
LECO,04/23/13,1
SWK,04/25/13,1
TEX,04/25/13,-1
VMI,04/19/13,1
BGG,04/19/13,-1
CAT,04/22/13,-1
CMRE,04/25/13,1
JBLU,04/25/13,-1
LUV,04/25/13,1
UPS,04/25/13,1
FWRD,04/19/13,-1
MSM,04/10/13,-1
GWW,04/16/13,1
WSO,04/18/13,1
CSX,04/17/13,1
JBHT,04/11/13,-1
PGI,04/19/13,-1
VZ,04/18/13,1
DTE,04/26/13,1
AGU,05/08/13,-1
HUN,04/30/13,1
IFF,05/07/13,1
KOP,05/03/13,-1
POL,05/02/13,1
SMG,05/07/13,-1
WLK,05/06/13,1
CHMT,05/03/13,-1
AXLL,05/08/13,-1
ECL,04/30/13,-1
SEE,05/01/13,-1
MCPIQ,05/10/13,1
X,04/30/13,-1
GSM,05/06/13,-1
CMLP,05/07/13,-1
IOC,05/14/13,1
MRO,05/08/13,-1
NRP,05/07/13,-1
NAT,05/13/13,-1
NOG,05/06/13,-1
SE,05/03/13,1
SGY,05/07/13,1
APC,05/07/13,1
APA,05/09/13,-1
UPLMQ,05/03/13,1
CHK,05/01/13,1
XEC,05/07/13,-1
CLNE,05/09/13,1
GTE,05/06/13,1
XCO,05/01/13,1
DK,05/09/13,1
NGLS,05/03/13,-1
APU,05/01/13,-1
RIG,05/09/13,-1
DGI,05/07/13,-1
MINI,05/06/13,1
RBA,04/30/13,-1
GEO,05/06/13,1
PPO,05/09/13,-1
BWXT,05/08/13,-1
GVA,05/09/13,-1
AGCO,04/30/13,1
CMI,04/30/13,-1
CNH,04/30/13,1
CPA,05/14/13,1
CHRW,05/08/13,-1
MGEE,05/03/13,1
NEE,04/30/13,1
POM,05/03/13,-1
PNW,05/03/13,1
HE,05/08/13,-1
FE,05/07/13,1
EE,05/01/13,1
SWX,05/10/13,1
BPL,05/03/13,1
ETP,05/09/13,1
AWR,05/10/13,1
ESL,05/31/13,-1
CPRT,05/31/13,-1
JOY,05/30/13,1
ROLL,05/29/13,1
NM,05/21/13,-1
DSX,05/22/13,-1
TITN,06/06/13,-1
CMC,06/27/13,-1
SCHN,06/27/13,-1
WOR,06/27/13,-1
NAV,06/11/13,-1
FDX,06/19/13,1
TXI,07/11/13,1
ALB,07/18/13,-1
PKG,07/17/13,1
AA,07/09/13,-1
STLD,07/18/13,-1
PGR,07/11/13,1
JPM,07/12/13,1
BAC,07/17/13,1
RNST,07/17/13,-1
MS,07/18/13,-1
SEIC,07/18/13,1
GS,07/16/13,1
BLK,07/18/13,1
UNH,07/18/13,1
HITK,07/09/13,-1
ANGO,07/12/13,1
VMI,07/18/13,1
MSM,07/10/13,1
CSX,07/17/13,1
MET,08/01/13,1
AIG,08/02/13,1
GNW,07/31/13,-1
EZPW,07/30/13,-1
NYX,07/30/13,1
KKR,07/26/13,-1
AMTD,07/23/13,1
OZM,08/02/13,1
REGN,08/06/13,1
AMGN,07/31/13,1
CELG,07/25/13,1
AET,07/30/13,1
CYH,07/30/13,-1
AMSG,07/24/13,1
HLS,07/26/13,1
ATHN,07/19/13,-1
JAZZ,08/07/13,-1
AVNR,08/07/13,-1
FRX,07/23/13,-1
ABAX,07/26/13,-1
ALGN,07/19/13,1
ICUI,07/19/13,-1
MR,08/06/13,1
QDEL,07/31/13,-1
VOLC,08/06/13,1
WMGI,08/06/13,-1
GIVN,08/07/13,1
WAT,07/23/13,-1
DDD,07/30/13,-1
SYNA,08/02/13,1
QLGC,07/26/13,1
XXIA,07/31/13,-1
JNPR,07/24/13,1
NTGR,07/26/13,1
ANEN,08/06/13,-1
VSAT,08/07/13,1
CGNX,07/30/13,-1
NATI,07/30/13,-1
TEL,07/24/13,1
TECD,08/05/13,-1
FLEX,07/26/13,1
DLB,07/26/13,-1
XRX,07/25/13,1
CSOD,08/07/13,-1
IL,08/07/13,1
MWW,08/01/13,1
STMP,08/01/13,1
AOL,08/07/13,1
CMPR,08/02/13,1
WBMD,08/01/13,-1
ZG,08/07/13,-1
RATE,07/30/13,-1
EQIX,07/25/13,-1
TRAK,08/06/13,1
FB,07/25/13,1
YELP,08/01/13,1
ANGI,07/25/13,-1
GOOGL,07/19/13,-1
AMD,07/19/13,1
ISIL,07/31/13,1
MXIM,07/26/13,-1
MLNX,07/25/13,1
MKSI,07/25/13,1
TQNT,07/25/13,1
CRUS,07/26/13,1
FSLR,08/07/13,-1
SPWR,08/01/13,1
DOX,08/01/13,1
CSC,08/07/13,1
MA,07/31/13,1
SAPE,08/07/13,1
SREV,08/02/13,1
ADP,08/01/13,-1
TDC,08/01/13,1
NESC,08/06/13,-1
G,08/07/13,1
ATVI,08/02/13,-1
ALLT,08/06/13,-1
ADVS,07/30/13,1
CVLT,07/30/13,1
ININ,08/06/13,1
MANH,07/24/13,1
MSFT,07/19/13,-1
N,07/26/13,1
SYMC,07/31/13,1
QLIK,07/26/13,-1
ULTI,07/31/13,1
BSFT,08/06/13,1
FTNT,07/31/13,-1
EA,07/24/13,1
NRP,08/08/13,-1
NAT,08/27/13,-1
WTI,08/08/13,-1
CLNE,08/09/13,1
EVEP,08/09/13,1
DK,08/08/13,-1
SXL,08/08/13,1
RIG,08/08/13,-1
MAN,10/21/13,1
LMT,10/22/13,1
NOC,10/23/13,1
TXT,10/18/13,-1
BA,10/23/13,1
GNRC,10/24/13,1
ITW,10/22/13,-1
LNN,10/10/13,-1
PH,10/18/13,1
TEX,10/24/13,1
CAT,10/23/13,-1
NSC,10/23/13,1
JOBS,11/07/13,1
PPO,11/05/13,-1
EMR,11/05/13,1
SCTY,11/07/13,-1
AGCO,10/29/13,-1
CMI,10/29/13,-1
MIDD,11/06/13,1
DE,11/20/13,1
LVLT,02/05/14,1
CTL,02/13/14,1
PNW,02/21/14,1
SBAC,02/26/14,-1
FTR,02/25/14,-1
PNM,02/28/14,1
EIX,02/26/14,1
AWK,02/27/14,-1
CAG,06/26/14,-1
STZ,07/02/14,1
AA,07/09/14,1
HUN,07/30/14,1
IPI,07/31/14,1
LYB,07/25/14,1
POT,07/24/14,1
ASH,08/01/14,1
MOS,07/31/14,-1
CE,07/18/14,1
FMC,07/31/14,-1
IP,07/29/14,1
SEE,07/30/14,1
SWY,07/24/14,-1
WFM,07/31/14,1
NGVC,08/01/14,-1
TSN,07/28/14,-1
CALM,07/28/14,1
AVP,07/31/14,-1
CLX,08/01/14,-1
PEP,07/23/14,1
SAM,07/31/14,1
DPS,07/24/14,1
PM,07/17/14,1
CMP,07/28/14,-1
NUE,07/24/14,-1
X,07/30/14,1
ABX,07/31/14,-1
CLF,07/24/14,-1
FCX,07/23/14,1
BRO,07/22/14,-1
EHTH,07/31/14,1
COF,07/18/14,1
GDOT,08/01/14,1
